School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
10X353,World View High School,10,1343.0,263.0,51.50335070737156,142
25Q252,"Queens School of Inquiry, The",25,508.0,161.0,51.025590551181104,143
16K498,Brooklyn High School for Law and Technology,16,1730.0,296.0,50.64508670520231,144
30Q555,Newcomers High School,30,559.0,166.0,49.295169946332734,145
17K543,"Science, Technology and Research Early College High School at Erasmus",17,790.0,197.0,49.1253164556962,146
10X442,"Celia Cruz Bronx High School of Music, The",10,561.0,165.0,48.529411764705884,147
07X548,Careers in Sports High School,7,1056.0,226.0,48.36742424242424,148
29Q259,Pathways College Preparatory School: A College Board School,29,440.0,145.0,47.78409090909091,149
06M552,Gregorio Luperon High School for Science and Mathematics,6,573.0,165.0,47.5130890052356,150
07X600,Alfred E. Smith Career and Technical Education High School,7,1126.0,227.0,45.762877442273535,151
14K561,Williamsburg Preparatory School,14,1131.0,226.0,45.16003536693192,152
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,1368.0,247.0,44.59722222222222,153
24Q455,Newtown High School,24,1328.0,243.0,44.46460843373494,154
06M348,Washington Heights Expeditionary Learning School,6,689.0,175.0,44.44847605224964,155
28Q350,Jamaica Gateway to the Sciences,28,1005.0,210.0,43.88059701492537,156
26Q435,Martin Van Buren High School,26,1084.0,217.0,43.440036900369,157
19K615,Transit Tech Career and Technical Education High School,19,1168.0,225.0,43.34332191780822,158
21K620,William E. Grady Career and Technical Education High School,21,970.0,205.0,43.324742268041234,159
05M499,Frederick Douglass Academy,5,903.0,195.0,42.10963455149502,160
04M372,Esperanza Preparatory Academy,4,322.0,114.0,40.36024844720497,161
11X249,Bronx Health Sciences High School,11,1270.0,225.0,39.86220472440945,162
11X508,Bronxdale High School,11,1828.0,267.0,38.99835886214442,163
27Q334,Epic High School - North,27,735.0,169.0,38.858503401360544,164
29Q327,Eagle Academy for Young Men III,29,324.0,112.0,38.71604938271605,165
27Q314,Epic High School - South,27,618.0,154.0,38.37540453074433,166
30Q502,Information Technology High School,30,944.0,190.0,38.24152542372882,167
28Q328,High School for Community Leadership,28,671.0,160.0,38.152011922503725,168
27Q302,"Queens High School for Information, Research, and Technology",27,671.0,160.0,38.152011922503725,168
02M489,High School of Economics and Finance,2,1374.0,223.0,36.19286754002911,170
08X269,Bronx Studio School for Writers and Artists,8,481.0,130.0,35.13513513513514,171
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",7,862.0,174.0,35.12296983758701,172
06M346,Community Health Academy of the Heights,6,586.0,143.0,34.89590443686007,173
19K660,W. H. Maxwell Career and Technical Education High School,19,991.0,185.0,34.53582240161453,174
03M610,Young Women's Leadership School,3,370.0,113.0,34.51081081081081,175
15K462,John Jay School for Law,15,1012.0,184.0,33.45454545454545,176
07X500,Hostos-Lincoln Academy of Science,7,751.0,158.0,33.241011984021306,177
07X221,South Bronx Preparatory: A College Board School,7,782.0,161.0,33.14705882352941,178
10X439,Bronx High School for Law and Community Service,10,1467.0,220.0,32.992501704158144,179
30Q367,Motion Picture Tech High School,30,538.0,133.0,32.87918215613383,180
13K605,George Westinghouse Career and Technical Education High School,13,1254.0,203.0,32.86204146730463,181
08X349,Bronx River High School,8,1172.0,196.0,32.77815699658703,182
06M211,Inwood Early College for Health and Information Technologies,6,745.0,156.0,32.665771812080536,183
27Q400,August Martin High School,27,960.0,177.0,32.634375,184
19K618,Academy of Innovative Technology,19,1048.0,183.0,31.955152671755727,185
03M492,"High School for Law, Advocacy and Community Justice",3,920.0,170.0,31.41304347826087,186
12X478,The Cinema School,12,618.0,139.0,31.263754045307444,187
02M459,Manhattan International High School,2,738.0,151.0,30.895663956639567,188
10X477,Marble Hill High School for International Studies,10,810.0,158.0,30.81975308641975,189
21K572,Leaders High School,21,462.0,119.0,30.651515151515152,190
15K497,The Boerum Hill School for International Studies,15,801.0,155.0,29.99375780274657,191
10X342,International School for Liberal Arts,10,219.0,81.0,29.958904109589042,192
11X418,Bronx High School for the Visual Arts,11,951.0,168.0,29.678233438485805,193
08X312,Millennium Art Academy,8,625.0,136.0,29.5936,194
02M543,New Design High School,2,852.0,157.0,28.93075117370892,195
09X413,Bronx High School for Medical Science,9,1104.0,178.0,28.69927536231884,196
14K488,Brooklyn Preparatory High School,14,1061.0,174.0,28.535344015080113,197
02M282,Urban Assembly Maker Academy,2,1074.0,175.0,28.51489757914339,198
10X434,Belmont Preparatory High School,10,1447.0,203.0,28.47892190739461,199
02M533,Union Square Academy for Health Sciences,2,834.0,154.0,28.436450839328536,200
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,11,775.0,148.0,28.26322580645161,201
28Q896,"Young Women's Leadership School, Queens",28,350.0,99.0,28.002857142857142,202
02M392,Manhattan Business Academy,2,1321.0,191.0,27.616199848599546,203
02M531,Repertory Company High School for Theatre Arts,2,365.0,100.0,27.397260273972602,204
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,782.0,146.0,27.25831202046036,205
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,745.0,141.0,26.685906040268456,206
11X513,New World High School,11,625.0,129.0,26.6256,207
09X568,Young Women's Leadership School of the Bronx,9,449.0,109.0,26.461024498886413,208
12X267,Bronx Latin,12,841.0,149.0,26.398335315101072,209
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,510.0,116.0,26.384313725490195,210
