school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
31R460,61.42857142857143,2217.952380952381,7,22.0,145.0,31R460,Susan E. Wagner High School
08X376,151.0,2211.0,7,86.0,210.0,08X376,Antonia Pantoja Preparatory Academy: A College Board School
19K502,173.0,2202.6666666666665,7,145.0,278.0,19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety
26Q415,41.714285714285715,2151.904761904762,7,14.0,144.0,26Q415,Benjamin N. Cardozo High School
31R440,60.0,2150.0,7,24.0,145.0,31R440,New Dorp High School
02M420,72.0,2097.3333333333335,7,27.0,138.0,02M420,High School for Health Professions and Human Services
11X275,184.71428571428572,2082.571428571429,7,144.0,264.0,11X275,High School of Computers and Technology
11X542,129.14285714285714,2080.809523809524,7,76.0,203.0,11X542,Pelham Preparatory Academy
02M600,82.71428571428571,2022.5714285714287,7,37.0,169.0,02M600,The High School of Fashion Industries
09X413,152.42857142857142,2019.952380952381,7,84.0,220.0,09X413,Bronx High School for Medical Science
30Q417,189.28571428571428,1990.5714285714284,7,144.0,260.0,30Q417,Gotham Tech High School
10X374,122.42857142857143,1953.6190476190477,7,62.0,177.0,10X374,Knowledge and Power Preparatory Academy International High School (Kappa)
28Q690,159.0,1925.3333333333333,7,124.0,254.0,28Q690,High School for Law Enforcement and Public Safety
24Q600,58.42857142857143,1873.285714285714,7,8.0,144.0,24Q600,Queens Technical High School
21K620,169.85714285714286,1870.1428571428576,7,107.0,241.0,21K620,William E. Grady Career and Technical Education High School
20K505,60.714285714285715,1868.2380952380952,7,25.0,144.0,20K505,Franklin Delano Roosevelt High School
10X353,144.71428571428572,1851.5714285714287,7,72.0,180.0,10X353,World View High School
28Q328,113.14285714285714,1833.1428571428569,7,60.0,162.0,28Q328,High School for Community Leadership
31R450,80.71428571428571,1811.5714285714287,7,39.0,144.0,31R450,Curtis High School
32K552,173.28571428571428,1799.9047619047622,7,128.0,241.0,32K552,The Academy of Urban Planning and Engineering
24Q520,85.0,1783.6666666666667,7,22.0,144.0,24Q520,Middle College High School at LaGuardia Community College
14K561,153.14285714285714,1757.8095238095236,7,109.0,241.0,14K561,Williamsburg Preparatory School
13K674,125.14285714285714,1743.4761904761908,7,66.0,194.0,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology"
14K478,190.0,1739.0,7,144.0,246.0,14K478,"The High School for Enterprise, Business and Technology"
11X455,124.57142857142857,1728.285714285714,7,69.0,184.0,11X455,Harry S Truman High School
10X440,103.71428571428571,1679.5714285714284,7,64.0,159.0,10X440,DeWitt Clinton High School
28Q686,57.142857142857146,1641.1428571428576,7,27.0,144.0,28Q686,Queens Metropolitan High School
30Q575,59.57142857142857,1639.6190476190477,7,15.0,144.0,30Q575,Academy of American Studies
25Q670,103.0,1633.6666666666667,7,45.0,152.0,25Q670,Robert F. Kennedy Community High School
30Q258,98.0,1615.6666666666667,7,30.0,145.0,30Q258,Energy Tech High School
32K556,165.57142857142858,1579.2857142857144,7,124.0,249.0,32K556,Bushwick Leaders High School for Academic Excellence
27Q302,148.0,1576.6666666666667,7,73.0,199.0,27Q302,"Queens High School for Information, Research, and Technology"
11X508,135.28571428571428,1570.5714285714284,7,81.0,189.0,11X508,Bronxdale High School
27Q323,58.857142857142854,1548.8095238095239,7,24.0,144.0,27Q323,Scholars' Academy
28Q505,87.57142857142857,1547.6190476190477,7,32.0,134.0,28Q505,Hillcrest High School
08X269,160.14285714285714,1524.8095238095236,7,128.0,242.0,08X269,Bronx Studio School for Writers and Artists
27Q308,76.42857142857143,1494.6190476190477,7,28.0,144.0,27Q308,Robert H. Goddard High School of Communication Arts and Technology
27Q309,153.14285714285714,1482.8095238095236,7,86.0,217.0,27Q309,Academy of Medical Technology: A College Board School
02M298,157.85714285714286,1466.142857142857,7,102.0,198.0,02M298,Pace High School
10X439,160.57142857142858,1454.6190476190477,7,120.0,234.0,10X439,Bronx High School for Law and Community Service
