School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
11X508,Bronxdale High School,11,6,7,1,1828,267,129,190,0.14285714285714285,196
13K350,Urban Assembly School of Music and Art,13,6,7,1,494,52,108,-2,0.14285714285714285,196
02M437,Hudson High School of Learning Technologies,2,6,64,9,353,48,119,-2,1.265625,79
02M546,Academy for Software Engineering,2,6,122,17,1992,388,125,201,2.3688524590163933,54
02M449,Vanguard High School,2,6,45,6,701,134,110,158,0.8,91
02M282,Urban Assembly Maker Academy,2,6,54,7,1074,175,150,216,0.9074074074074074,89
02M655,The High School for Climate Justice,2,6,8,1,298,60,152,105,0.125,200
07X600,Alfred E. Smith Career and Technical Education High School,7,6,8,1,1126,227,189,193,0.125,200
08X405,Herbert H. Lehman High School,8,6,8,1,2078,405,528,479,0.125,200
09X231,Eagle Academy for Young Men,9,6,8,1,455,163,80,130,0.125,200
11X249,Bronx Health Sciences High School,11,6,8,1,1270,225,200,261,0.125,200
11X290,Bronx Academy of Health Careers,11,6,8,1,897,90,108,-2,0.125,200
17K751,Academy for Health Careers,17,6,8,1,715,72,108,-2,0.125,200
03M307,"Urban Assembly School for Media Studies, The",3,6,49,6,328,71,126,109,0.7346938775510204,92
06M468,High School for Health Careers and Sciences,6,6,229,28,822,121,268,-2,3.423580786026201,46
06M463,High School for Media and Communications,6,6,174,21,505,61,150,-2,2.5344827586206895,52
02M316,"Urban Assembly School of Business for Young Women, the",2,6,9,1,165,17,120,-2,0.1111111111111111,207
07X223,The Laboratory School of Finance and Technology: X223,7,6,9,1,980,230,89,93,0.1111111111111111,207
09X252,Mott Hall Bronx High School,9,6,9,1,1138,141,90,130,0.1111111111111111,207
10X225,Theatre Arts Production Company School,10,6,9,1,633,88,170,-2,0.1111111111111111,207
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,11,6,9,1,775,148,120,-2,0.1111111111111111,207
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,6,9,1,837,124,108,-2,0.1111111111111111,207
02M534,Harvest Collegiate High School,2,6,130,14,1116,115,116,-2,1.5076923076923077,69
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,6,19,2,510,116,122,-2,0.21052631578947367,181
03M494,High School of Arts and Technology,3,6,118,12,1037,132,140,-2,1.2203389830508475,80
07X527,Bronx Leadership Academy II High School,7,6,10,1,911,103,131,-2,0.1,214
07X670,Health Opportunities High School,7,6,10,1,477,47,75,-2,0.1,214
09X227,Bronx Collegiate Academy,9,6,10,1,1201,163,120,173,0.1,214
09X412,Bronx High School of Business,9,6,10,1,765,66,120,-2,0.1,214
09X525,Bronx Leadership Academy High School,9,6,10,1,1027,107,105,123,0.1,214
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",10,6,10,1,334,46,135,-2,0.1,214
10X439,Bronx High School for Law and Community Service,10,6,10,1,1467,220,108,163,0.1,214
15K656,Brooklyn High School of the Arts,15,6,10,1,2104,574,254,272,0.1,214
02M489,High School of Economics and Finance,2,6,91,9,1374,223,230,-2,0.8901098901098901,90
03M403,The Global Learning Collaborative,3,6,243,23,754,90,108,-2,2.1769547325102883,55
02M422,Quest to Learn,2,6,11,1,177,27,108,41,0.09090909090909091,222
02M605,Humanities Preparatory Academy,2,6,154,14,861,101,75,-2,1.2727272727272727,78
09X324,Bronx Early College Academy for Teaching & Learning,9,6,11,1,549,93,81,133,0.09090909090909091,222
10X434,Belmont Preparatory High School,10,6,11,1,1447,203,108,176,0.09090909090909091,222
11X455,Harry S Truman High School,11,6,12,1,1891,390,913,-2,0.08333333333333333,226
02M305,"Urban Assembly Academy of Government and Law, The",2,6,25,2,573,75,100,-2,0.16,195
04M372,Esperanza Preparatory Academy,4,6,13,1,322,114,106,120,0.07692307692307693,227
10X353,World View High School,10,6,13,1,1343,263,150,195,0.07692307692307693,227
11X299,Astor Collegiate Academy,11,6,13,1,2199,342,120,189,0.07692307692307693,227
02M399,The High School For Language And Diplomacy,2,6,14,1,385,36,134,-2,0.07142857142857142,230
05M157,The Urban Assembly School for Global Commerce,5,6,14,1,207,26,81,-2,0.07142857142857142,230
03M402,The Urban Assembly School for Green Careers,3,6,144,10,494,39,120,45,0.6944444444444444,93
02M047,47 The American Sign Language and English Secondary School,2,6,15,1,318,55,69,-2,0.06666666666666667,232
10X438,Fordham Leadership Academy,10,6,15,1,2416,416,108,155,0.06666666666666667,232
10X549,Discovery High School,10,6,15,1,716,95,108,135,0.06666666666666667,232
05M304,Mott Hall High School,5,6,94,6,455,53,108,-2,0.3829787234042553,144
03M299,The Maxine Greene HS for Imaginative Inquiry,3,6,16,1,77,10,120,-2,0.0625,235
09X505,"Bronx School for Law, Government and Justice",9,6,16,1,1132,259,120,154,0.0625,235
02M425,Leadership and Public Service High School,2,6,17,1,387,36,145,52,0.058823529411764705,237
02M438,International High School at Union Square,2,6,17,1,501,103,68,75,0.058823529411764705,237
03M860,Frederick Douglass Academy II Secondary School,3,6,18,1,309,55,95,105,0.05555555555555555,239
10X264,Bronx Academy for Software Engineering (BASE),10,6,18,1,1199,175,120,165,0.05555555555555555,239
01M450,East Side Community School,1,6,38,2,1142,328,95,117,0.10526315789473684,213
02M500,Unity Center for Urban Technologies,2,6,19,1,274,48,95,136,0.05263157894736842,241
10X546,Bronx Theatre High School,10,6,20,1,414,45,128,-2,0.05,242
02M427,Manhattan Academy For Arts & Language,2,6,22,1,389,72,108,49,0.045454545454545456,243
02M300,"Urban Assembly School of Design and Construction, The",2,6,45,2,346,43,108,-2,0.08888888888888889,225
02M308,Lower Manhattan Arts Academy,2,6,23,1,524,69,95,-2,0.043478260869565216,244
10X442,"Celia Cruz Bronx High School of Music, The",10,6,23,1,561,165,140,114,0.043478260869565216,244
09X413,Bronx High School for Medical Science,9,6,24,1,1104,178,90,170,0.041666666666666664,246
04M680,"Heritage School, The",4,6,25,1,482,60,80,-2,0.04,247
05M148,Eagle Academy for Young Men of Harlem,5,6,25,1,257,46,120,88,0.04,247
09X365,Academy for Language and Technology,9,6,25,1,773,224,92,89,0.04,247
07X548,Careers in Sports High School,7,6,26,1,1056,226,125,202,0.038461538461538464,250
10X284,Bronx School of Law and Finance,10,6,28,1,558,58,130,-2,0.03571428571428571,251
02M296,High School of Hospitality Management,2,6,29,1,269,35,135,-2,0.034482758620689655,252
02M432,Murray Hill Academy,2,6,32,1,558,76,90,-2,0.03125,253
02M533,Union Square Academy for Health Sciences,2,6,32,1,834,154,163,143,0.03125,253
02M529,Jacqueline Kennedy Onassis High School,2,6,34,1,534,81,204,-2,0.029411764705882353,255
10X213,Bronx Engineering and Technology Academy,10,6,34,1,754,115,142,-2,0.029411764705882353,255
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),10,6,34,1,2279,431,120,179,0.029411764705882353,255
02M580,Richard R. Green High School of Teaching,2,6,36,1,1291,154,160,-2,0.027777777777777776,258
05M369,Urban Assembly School for the Performing Arts,5,6,46,1,372,52,108,-2,0.021739130434782608,259
02M419,Landmark High School,2,6,70,1,457,37,100,-2,0.014285714285714285,260
03M299,The Maxine Greene HS for Imaginative Inquiry,3,7,1,1,77,10,120,-2,1.0,313
08X320,Pelham Lab High School,8,7,1,1,514,49,108,-2,1.0,313
09X263,Validus Preparatory Academy,9,7,3,3,264,33,90,-2,3.0,39
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),10,7,1,1,648,268,210,288,1.0,313
10X228,Jonas Bronck Academy,10,7,1,1,372,91,90,-2,1.0,313
10X342,International School for Liberal Arts,10,7,1,1,219,81,100,-2,1.0,313
10X524,Crotona International High School,10,7,1,1,309,47,81,19,1.0,313
11X509,High School of Language and Innovation,11,7,1,1,299,56,108,36,1.0,313
13K412,Brooklyn Community Arts & Media High School (BCAM),13,7,1,1,702,113,142,-2,1.0,313
13K483,The Urban Assembly School for Law and Justice,13,7,1,1,593,105,115,-2,1.0,313
13K527,Urban Assembly Institute of Math and Science for Young Women,13,7,1,1,237,54,81,60,1.0,313
13K595,Bedford Academy High School,13,7,2,2,2464,599,81,114,2.0,58
13K963,Design Works High School,13,7,1,1,607,86,81,-2,1.0,313
14K488,Brooklyn Preparatory High School,14,7,1,1,1061,174,153,-2,1.0,313
17K122,Pathways in Technology Early College High School (P-Tech),17,7,1,1,712,114,150,-2,1.0,313
17K408,Academy of Hospitality and Tourism,17,7,2,2,571,89,118,-2,2.0,58
17K590,Medgar Evers College Preparatory School,17,7,1,1,2078,676,220,237,1.0,313
17K745,Brooklyn Institute for Liberal Arts,17,7,1,1,761,109,175,158,1.0,313
18K567,Brooklyn Theatre Arts High School,18,7,1,1,352,39,125,-2,1.0,313
18K629,Cultural Academy for the Arts and Sciences,18,7,1,1,567,70,116,80,1.0,313
20K485,High School of Telecommunication Arts and Technology,20,7,1,1,2973,1210,310,363,1.0,313
20K490,Fort Hamilton High School,20,7,1,1,4983,1995,883,903,1.0,313
21K690,Brooklyn Studio Secondary School,21,7,2,2,844,281,102,133,2.0,58
23K644,Eagle Academy for Young Men II,23,7,1,1,554,179,92,139,1.0,313
24Q267,High School of Applied Communication,24,7,1,1,557,75,145,-2,1.0,313
24Q296,Pan American International High School,24,7,1,1,508,166,108,28,1.0,313
25Q252,"Queens School of Inquiry, The",25,7,1,1,508,161,89,107,1.0,313
25Q281,East-West School of International Studies,25,7,1,1,766,290,89,113,1.0,313
26Q435,Martin Van Buren High School,26,7,1,1,1084,217,352,273,1.0,313
27Q309,Academy of Medical Technology: A College Board School,27,7,1,1,626,120,105,109,1.0,313
27Q334,Epic High School - North,27,7,1,1,735,169,70,91,1.0,313
28Q325,Hillside Arts & Letters Academy,28,7,1,1,520,82,108,133,1.0,313
28Q328,High School for Community Leadership,28,7,1,1,671,160,150,231,1.0,313
30Q367,Motion Picture Tech High School,30,7,1,1,538,133,200,-2,1.0,313
30Q580,Baccalaureate School for Global Education,30,7,2,2,1732,937,97,94,2.0,58
31R445,Port Richmond High School,31,7,1,1,1267,334,564,435,1.0,313
24Q520,Middle College High School at LaGuardia Community College,24,7,4,3,1826,552,97,118,2.25,51
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,7,3,2,362,54,82,-2,1.3333333333333333,84
15K462,John Jay School for Law,15,7,3,2,1012,184,125,-2,1.3333333333333333,84
26Q430,Francis Lewis High School,26,7,3,2,8708,3905,913,1030,1.3333333333333333,84
27Q480,John Adams High School,27,7,3,2,2490,480,636,644,1.3333333333333333,84
28Q686,Queens Metropolitan High School,28,7,3,2,2321,931,279,279,1.3333333333333333,84
22K535,Leon M. Goldstein High School for the Sciences,22,7,5,3,3985,2007,258,429,1.8,65
02M551,Urban Assembly New York Harbor School,2,7,7,4,724,221,200,-2,2.2857142857142856,49
02M531,Repertory Company High School for Theatre Arts,2,7,13,7,365,100,60,68,3.769230769230769,35
01M292,Orchard Collegiate Academy,1,7,2,1,280,71,90,-2,0.5,118
01M515,Lower East Side Preparatory High School,1,7,2,1,317,89,75,-2,0.5,118
02M316,"Urban Assembly School of Business for Young Women, the",2,7,2,1,165,17,120,-2,0.5,118
02M586,Harvey Milk High School,2,7,2,1,40,3,45,-1,0.5,118
03M479,Beacon High School,3,7,156,78,7891,4442,360,493,39.0,2
08X282,Women's Academy of Excellence,8,7,2,1,172,27,108,-2,0.5,118
09X350,New Directions Secondary School,9,7,2,1,72,9,25,-2,0.5,118
12X684,Wings Academy,12,7,12,6,370,63,150,86,3.0,39
13K670,Benjamin Banneker Academy,13,7,4,2,1912,451,225,318,1.0,102
14K454,The Williamsburg High School of Art and Technology,14,7,2,1,893,129,116,120,0.5,118
14K474,PROGRESS High School for Professional Careers,14,7,2,1,506,81,153,-2,0.5,118
14K478,"The High School for Enterprise, Business and Technology",14,7,2,1,1197,144,249,130,0.5,118
14K558,Williamsburg High School for Architecture and Design,14,7,6,3,1223,253,155,212,1.5,76
14K614,Young Women's Leadership School of Brooklyn,14,7,2,1,251,47,93,59,0.5,118
16K765,Nelson Mandela High School,16,7,2,1,250,25,114,-2,0.5,118
17K524,International High School at Prospect Heights,17,7,2,1,338,61,108,45,0.5,118
17K537,High School for Youth and Community Development at Erasmus,17,7,2,1,488,82,140,-2,0.5,118
17K546,High School for Public Service: Heroes of Tomorrow,17,7,2,1,656,69,130,-2,0.5,118
17K548,Brooklyn School for Music & Theatre,17,7,2,1,522,74,108,-2,0.5,118
17K600,Clara Barton High School,17,7,2,1,1276,355,434,-2,0.5,118
19K404,Academy for Young Writers,19,7,2,1,559,71,92,82,0.5,118
19K409,East New York Family Academy,19,7,2,1,416,159,125,147,0.5,118
19K510,World Academy for Total Community Health High School,19,7,2,1,417,29,98,-2,0.5,118
19K639,Brooklyn Lab School,19,7,2,1,980,152,102,143,0.5,118
19K660,W. H. Maxwell Career and Technical Education High School,19,7,2,1,991,185,305,164,0.5,118
20K505,Franklin Delano Roosevelt High School,20,7,2,1,3723,924,710,852,0.5,118
21K348,High School of Sports Management,21,7,2,1,386,75,176,-2,0.5,118
21K525,Edward R. Murrow High School,21,7,2,1,6293,2283,933,1196,0.5,118
21K620,William E. Grady Career and Technical Education High School,21,7,2,1,970,205,305,214,0.5,118
22K425,James Madison High School,22,7,2,1,6968,2801,837,940,0.5,118
23K514,Frederick Douglass Academy VII High School,23,7,2,1,532,76,108,85,0.5,118
24Q550,High School for Arts and Business,24,7,2,1,2257,552,191,255,0.5,118
24Q600,Queens Technical High School,24,7,4,2,3942,1196,350,423,1.0,102
25Q460,Flushing High School,25,7,2,1,1592,289,419,419,0.5,118
27Q314,Epic High School - South,27,7,2,1,618,154,95,138,0.5,118
27Q400,August Martin High School,27,7,2,1,960,177,250,218,0.5,118
28Q620,Thomas A. Edison Career and Technical Education High School,28,7,2,1,6131,2355,473,583,0.5,118
29Q265,Excelsior Preparatory High School,29,7,2,1,353,58,108,95,0.5,118
29Q326,Cambria Heights Academy,29,7,2,1,581,113,81,103,0.5,118
32K549,The Brooklyn School for Social Justice,32,7,2,1,425,47,120,-2,0.5,118
01M696,Bard High School Early College,1,7,48,23,3946,2196,125,198,11.020833333333334,17
24Q299,Bard High School Early College Queens,24,7,13,6,3866,2227,125,166,2.769230769230769,43
01M539,"New Explorations into Science, Technology and Math High School",1,7,37,17,3743,2047,150,289,7.8108108108108105,21
02M411,Baruch College Campus High School,2,7,118,53,6773,2753,118,188,23.805084745762713,7
02M416,Eleanor Roosevelt High School,2,7,142,62,7699,3749,136,224,27.070422535211268,4
24Q530,International High School at LaGuardia Community College,24,7,7,3,1236,505,119,114,1.2857142857142858,93
12X641,Bard High School Early College Bronx,12,7,84,35,1391,613,100,106,14.583333333333334,14
25Q525,Townsend Harris High School,25,7,17,7,6780,4957,290,374,2.8823529411764706,41
02M260,The Clinton School,2,7,39,16,2837,1151,134,221,6.564102564102564,23
02M630,Art and Design High School,2,7,87,35,3594,1359,385,523,14.080459770114942,15
02M519,Talent Unlimited High School,2,7,45,18,1599,468,152,213,7.2,22
02M600,The High School of Fashion Industries,2,7,85,34,2046,720,475,395,13.6,16
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,7,18,7,432,88,108,-2,2.7222222222222223,45
05M362,Columbia Secondary School,5,7,142,54,4258,1769,112,175,20.535211267605632,10
02M412,N.Y.C. Lab School for Collaborative Studies,2,7,40,15,3134,1067,109,161,5.625,27
03M541,Manhattan / Hunter Science High School,3,7,121,43,5406,2689,108,176,15.28099173553719,13
03M417,Frank McCourt High School,3,7,34,12,1253,345,120,170,4.235294117647059,32
02M305,"Urban Assembly Academy of Government and Law, The",2,7,6,2,573,75,100,-2,0.6666666666666666,109
02M394,Emma Lazarus High School,2,7,3,1,134,19,60,-1,0.3333333333333333,157
08X348,Schuylerville Preparatory High School,8,7,3,1,286,30,108,-2,0.3333333333333333,157
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,7,3,1,909,111,258,143,0.3333333333333333,157
13K594,Gotham Professional Arts Academy,13,7,3,1,364,61,81,-2,0.3333333333333333,157
14K071,Juan Morel Campos Secondary School,14,7,3,1,341,78,101,69,0.3333333333333333,157
14K561,Williamsburg Preparatory School,14,7,3,1,1131,226,180,236,0.3333333333333333,157
15K429,Digital Arts and Cinema Technology High School,15,7,3,1,579,105,90,94,0.3333333333333333,157
15K448,Brooklyn Collaborative Studies,15,7,3,1,693,99,90,110,0.3333333333333333,157
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,7,6,2,837,124,108,-2,0.6666666666666666,109
18K617,High School for Innovation in Advertising and Media,18,7,3,1,522,101,81,91,0.3333333333333333,157
18K633,High School for Medical Professions,18,7,3,1,666,99,108,116,0.3333333333333333,157
19K507,Performing Arts and Technology High School,19,7,3,1,1103,157,125,163,0.3333333333333333,157
19K615,Transit Tech Career and Technical Education High School,19,7,3,1,1168,225,315,-2,0.3333333333333333,157
20K445,New Utrecht High School,20,7,3,1,4568,1443,630,730,0.3333333333333333,157
21K559,Life Academy High School for Film and Music,21,7,3,1,145,21,81,49,0.3333333333333333,157
24Q485,Grover Cleveland High School,24,7,3,1,1552,359,420,437,0.3333333333333333,157
25Q240,Veritas Academy,25,7,3,1,526,96,130,-2,0.3333333333333333,157
28Q440,Forest Hills High School,28,7,6,2,7184,2477,702,851,0.6666666666666666,109
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,7,3,1,782,146,150,-2,0.3333333333333333,157
29Q498,"Health, Arts, Robotics, and Technology High School",29,7,3,1,1435,293,196,264,0.3333333333333333,157
30Q258,Energy Tech High School,30,7,3,1,1535,348,108,145,0.3333333333333333,157
30Q286,"Young Women's Leadership School, Astoria",30,7,3,1,453,156,81,103,0.3333333333333333,157
31R440,New Dorp High School,31,7,3,1,2806,1011,668,887,0.3333333333333333,157
31R450,Curtis High School,31,7,3,1,1967,690,804,754,0.3333333333333333,157
32K403,Academy for Excellence in Leadership,32,7,3,1,653,76,108,-2,0.3333333333333333,157
04M435,Manhattan Center for Science and Mathematics,4,7,206,66,5010,1993,440,709,21.145631067961165,9
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,7,22,7,510,116,122,-2,2.227272727272727,52
02M298,Pace High School,2,7,22,7,1172,169,190,177,2.227272727272727,52
02M408,Professional Performing Arts High School,2,7,22,7,1255,378,128,180,2.227272727272727,52
07X223,The Laboratory School of Finance and Technology: X223,7,7,462,147,980,230,89,93,46.77272727272727,1
04M555,Central Park East High School,4,7,262,83,4762,1538,125,215,26.293893129770993,5
04M495,Park East High School,4,7,181,55,2653,739,100,166,16.712707182320443,11
02M418,Millennium High School,2,7,53,16,5541,2290,176,286,4.830188679245283,29
04M372,Esperanza Preparatory Academy,4,7,10,3,322,114,106,120,0.9,107
07X334,International Community High School,7,7,51,15,210,40,81,23,4.411764705882353,30
07X221,South Bronx Preparatory: A College Board School,7,7,341,100,782,161,123,148,29.325513196480937,3
09X231,Eagle Academy for Young Men,9,7,31,9,455,163,80,130,2.6129032258064515,46
06M293,City College Academy of the Arts,6,7,28,8,1028,337,81,95,2.2857142857142856,49
15K656,Brooklyn High School of the Arts,15,7,7,2,2104,574,254,272,0.5714285714285714,115
07X500,Hostos-Lincoln Academy of Science,7,7,320,90,751,158,81,121,25.3125,6
02M543,New Design High School,2,7,36,10,852,157,125,145,2.7777777777777777,42
07X495,University Heights Secondary School,7,7,293,80,2181,787,140,203,21.843003412969285,8
09X260,Bronx Center for Science and Mathematics,9,7,212,57,2530,621,108,201,15.325471698113208,12
02M376,NYC iSchool,2,7,34,9,2459,931,118,158,2.3823529411764706,48
02M432,Murray Hill Academy,2,7,23,6,558,76,90,-2,1.565217391304348,71
03M610,Young Women's Leadership School,3,7,23,6,370,113,81,-2,1.565217391304348,71
10X243,West Bronx Academy for the Future,10,7,23,6,917,136,90,109,1.565217391304348,71
02M439,Manhattan Village Academy,2,7,74,19,3002,860,100,201,4.878378378378378,28
10X440,DeWitt Clinton High School,10,7,135,34,2901,586,385,492,8.562962962962963,20
09X505,"Bronx School for Law, Government and Justice",9,7,163,41,1132,259,120,154,10.312883435582823,18
02M419,Landmark High School,2,7,8,2,457,37,100,-2,0.5,118
02M545,High School for Dual Language and Asian Studies,2,7,8,2,769,299,108,150,0.5,118
02M605,Humanities Preparatory Academy,2,7,24,6,861,101,75,-2,1.5,76
08X636,Virtual Innovators Academy,8,7,28,7,113,31,80,-2,1.75,66
14K477,East Williamsburg Scholars Academy,14,7,4,1,650,90,234,-2,0.25,185
15K497,The Boerum Hill School for International Studies,15,7,4,1,801,155,125,-2,0.25,185
15K519,Cobble Hill School of American Studies,15,7,4,1,481,62,278,-2,0.25,185
15K684,Millennium Brooklyn HS,15,7,4,1,5385,2365,178,252,0.25,185
16K498,Brooklyn High School for Law and Technology,16,7,4,1,1730,296,151,-2,0.25,185
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,7,4,1,745,141,108,125,0.25,185
21K540,John Dewey High School,21,7,4,1,2573,622,553,577,0.25,185
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,7,4,1,1368,247,120,161,0.25,185
27Q302,"Queens High School for Information, Research, and Technology",27,7,4,1,671,160,130,177,0.25,185
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,7,4,1,735,122,108,-2,0.25,185
30Q445,William Cullen Bryant High School,30,7,4,1,1681,297,435,349,0.25,185
32K552,The Academy of Urban Planning and Engineering,32,7,4,1,737,128,113,-2,0.25,185
02M449,Vanguard High School,2,7,29,7,701,134,110,158,1.6896551724137931,67
02M413,School of the Future High School,2,7,26,6,1741,485,108,152,1.3846153846153846,81
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),10,7,65,15,2279,431,120,179,3.4615384615384617,36
10X437,Fordham High School for the Arts,10,7,81,18,1826,399,130,158,4.0,34
22K405,Midwood High School,22,7,9,2,11658,5495,910,1323,0.4444444444444444,155
02M414,N.Y.C. Museum School,2,7,32,7,3022,865,150,254,1.53125,74
03M492,"High School for Law, Advocacy and Community Justice",3,7,46,10,920,170,220,-2,2.1739130434782608,55
06M462,The College Academy,6,7,28,6,814,121,121,129,1.2857142857142858,93
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,7,47,10,826,130,128,-2,2.127659574468085,57
07X600,Alfred E. Smith Career and Technical Education High School,7,7,216,44,1126,227,189,193,8.962962962962964,19
02M546,Academy for Software Engineering,2,7,79,16,1992,388,125,201,3.240506329113924,37
02M400,High School for Environmental Studies,2,7,50,10,2558,395,344,385,2.0,58
10X442,"Celia Cruz Bronx High School of Music, The",10,7,40,8,561,165,140,114,1.6,69
12X478,The Cinema School,12,7,40,8,618,139,81,117,1.6,69
13K350,Urban Assembly School of Music and Art,13,7,5,1,494,52,108,-2,0.2,199
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,7,5,1,1239,274,108,160,0.2,199
19K618,Academy of Innovative Technology,19,7,5,1,1048,183,115,169,0.2,199
26Q315,Business Technology Early College High School,26,7,5,1,1032,289,180,272,0.2,199
29Q272,George Washington Carver High School for the Sciences,29,7,5,1,590,92,93,-2,0.2,199
30Q450,Long Island City High School,30,7,5,1,1827,403,790,432,0.2,199
30Q501,Frank Sinatra School of the Arts High School,30,7,25,5,3557,1643,236,416,1.0,102
07X551,The Urban Assembly Bronx Academy of Letters,7,7,161,32,309,45,108,58,6.3602484472049685,25
11X249,Bronx Health Sciences High School,11,7,56,11,1270,225,200,261,2.1607142857142856,56
02M533,Union Square Academy for Health Sciences,2,7,31,6,834,154,163,143,1.1612903225806452,98
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",7,7,163,31,862,174,250,182,5.895705521472393,26
05M369,Urban Assembly School for the Performing Arts,5,7,37,7,372,52,108,-2,1.3243243243243243,90
07X473,Mott Haven Village Preparatory High School,7,7,202,36,460,62,81,-2,6.415841584158416,24
03M494,High School of Arts and Technology,3,7,46,8,1037,132,140,-2,1.391304347826087,79
08X293,Renaissance High School for Musical Theater and the Arts,8,7,35,6,660,115,110,-2,1.0285714285714285,101
02M507,Urban Assembly Gateway School for Technology,2,7,47,8,1299,278,108,146,1.3617021276595744,82
08X269,Bronx Studio School for Writers and Artists,8,7,47,8,481,130,90,113,1.3617021276595744,82
10X434,Belmont Preparatory High School,10,7,53,9,1447,203,108,176,1.528301886792453,75
02M395,A School Without Walls,2,7,6,1,178,36,100,-2,0.16666666666666666,206
02M422,Quest to Learn,2,7,6,1,177,27,108,41,0.16666666666666666,206
02M520,Murry Bergtraum High School for Business Careers,2,7,6,1,222,38,240,-2,0.16666666666666666,206
06M552,Gregorio Luperon High School for Science and Mathematics,6,7,6,1,573,165,150,45,0.16666666666666666,206
08X405,Herbert H. Lehman High School,8,7,66,11,2078,405,528,479,1.8333333333333333,64
08X452,Gotham Collaborative High School,8,7,6,1,343,51,120,-2,0.16666666666666666,206
10X549,Discovery High School,10,7,6,1,716,95,108,135,0.16666666666666666,206
11X265,Bronx Lab School,11,7,6,1,381,47,123,-2,0.16666666666666666,206
13K605,George Westinghouse Career and Technical Education High School,13,7,6,1,1254,203,254,194,0.16666666666666666,206
16K455,Boys and Girls High School,16,7,6,1,712,68,369,96,0.16666666666666666,206
18K637,Academy for Conservation and the Environment,18,7,6,1,727,92,170,217,0.16666666666666666,206
24Q585,Maspeth High School,24,7,6,1,5045,1953,270,348,0.16666666666666666,206
25Q425,John Bowne High School,25,7,6,1,3116,720,783,809,0.16666666666666666,206
30Q575,Academy of American Studies,30,7,6,1,2727,819,170,224,0.16666666666666666,206
32K554,All City Leadership Secondary School,32,7,6,1,911,247,62,62,0.16666666666666666,206
10X439,Bronx High School for Law and Community Service,10,7,61,10,1467,220,108,163,1.639344262295082,68
10X438,Fordham Leadership Academy,10,7,92,15,2416,416,108,155,2.4456521739130435,47
11X418,Bronx High School for the Visual Arts,11,7,43,7,951,168,102,136,1.1395348837209303,100
07X522,Bronx Design and Construction Academy,7,7,119,19,677,112,140,91,3.033613445378151,38
07X548,Careers in Sports High School,7,7,174,27,1056,226,125,202,4.189655172413793,33
05M148,Eagle Academy for Young Men of Harlem,5,7,13,2,257,46,120,88,0.3076923076923077,180
11X513,New World High School,11,7,13,2,625,129,108,69,0.3076923076923077,180
06M540,A. Philip Randolph Campus High School,6,7,118,18,2050,408,471,379,2.7457627118644066,44
11X455,Harry S Truman High School,11,7,62,9,1891,390,913,-2,1.3064516129032258,92
02M393,Business Of Sports School,2,7,56,8,1151,248,129,210,1.1428571428571428,99
17K751,Academy for Health Careers,17,7,7,1,715,72,108,-2,0.14285714285714285,220
24Q264,Academy of Finance and Enterprise,24,7,7,1,2163,546,124,151,0.14285714285714285,220
27Q260,Frederick Douglass Academy VI High School,27,7,7,1,482,71,121,-2,0.14285714285714285,220
07X527,Bronx Leadership Academy II High School,7,7,234,32,911,103,131,-2,4.3760683760683765,31
09X227,Bronx Collegiate Academy,9,7,81,11,1201,163,120,173,1.4938271604938271,78
02M420,High School for Health Professions and Human Services,2,7,52,7,2991,776,477,590,0.9423076923076923,106
02M047,47 The American Sign Language and English Secondary School,2,7,15,2,318,55,69,-2,0.26666666666666666,183
08X558,Westchester Square Academy,8,7,15,2,788,106,135,114,0.26666666666666666,183
02M288,Food and Finance High School,2,7,38,5,1225,264,150,211,0.6578947368421053,113
11X542,Pelham Preparatory Academy,11,7,76,10,2331,448,130,211,1.3157894736842106,91
02M615,Chelsea Career and Technical Education High School,2,7,23,3,821,118,152,-2,0.391304347826087,156
02M399,The High School For Language And Diplomacy,2,7,8,1,385,36,134,-2,0.125,224
02M407,Institute for Collaborative Education,2,7,8,1,836,263,61,73,0.125,224
02M500,Unity Center for Urban Technologies,2,7,8,1,274,48,95,136,0.125,224
02M534,Harvest Collegiate High School,2,7,16,2,1116,115,116,-2,0.25,185
