School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
15K464,Park Slope Collegiate,15,1,1,1,613,115,102,130,1.0,189
15K519,Cobble Hill School of American Studies,15,1,1,1,481,62,278,-2,1.0,189
16K688,The Brooklyn Academy of Global Finance,16,1,1,1,469,56,108,-2,1.0,189
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,1,1,1,837,124,108,-2,1.0,189
17K751,Academy for Health Careers,17,1,1,1,715,72,108,-2,1.0,189
18K576,Victory Collegiate High School,18,1,1,1,305,61,140,-2,1.0,189
19K507,Performing Arts and Technology High School,19,1,1,1,1103,157,125,163,1.0,189
20K490,Fort Hamilton High School,20,1,1,1,4983,1995,883,903,1.0,189
22K535,Leon M. Goldstein High School for the Sciences,22,1,1,1,3985,2007,258,429,1.0,189
22K555,Brooklyn College Academy,22,1,1,1,2698,911,170,228,1.0,189
24Q264,Academy of Finance and Enterprise,24,1,2,2,2163,546,124,151,2.0,38
24Q530,International High School at LaGuardia Community College,24,1,3,3,1236,505,119,114,3.0,29
24Q610,Aviation Career & Technical Education High School,24,1,1,1,4123,1548,530,723,1.0,189
26Q315,Business Technology Early College High School,26,1,1,1,1032,289,180,272,1.0,189
27Q324,Rockaway Park High School for Environmental Sustainability,27,1,1,1,164,25,108,51,1.0,189
27Q400,August Martin High School,27,1,1,1,960,177,250,218,1.0,189
27Q480,John Adams High School,27,1,1,1,2490,480,636,644,1.0,189
28Q440,Forest Hills High School,28,1,2,2,7184,2477,702,851,2.0,38
28Q686,Queens Metropolitan High School,28,1,1,1,2321,931,279,279,1.0,189
29Q498,"Health, Arts, Robotics, and Technology High School",29,1,1,1,1435,293,196,264,1.0,189
30Q367,Motion Picture Tech High School,30,1,1,1,538,133,200,-2,1.0,189
30Q450,Long Island City High School,30,1,1,1,1827,403,790,432,1.0,189
31R028,The Eagle Academy for Young Men of Staten Island,31,1,1,1,94,26,81,-2,1.0,189
31R440,New Dorp High School,31,1,1,1,2806,1011,668,887,1.0,189
32K545,EBC High School for Public Service - Bushwick,32,1,1,1,467,75,126,-2,1.0,189
25Q525,Townsend Harris High School,25,1,14,10,6780,4957,290,374,7.142857142857143,15
02M531,Repertory Company High School for Theatre Arts,2,1,3,2,365,100,60,68,1.3333333333333333,47
03M610,Young Women's Leadership School,3,1,3,2,370,113,81,-2,1.3333333333333333,47
03M859,Special Music School,3,1,3,2,482,165,50,64,1.3333333333333333,47
01M696,Bard High School Early College,1,1,151,95,3946,2196,125,198,59.7682119205298,1
24Q299,Bard High School Early College Queens,24,1,14,8,3866,2227,125,166,4.571428571428571,23
30Q301,Academy for Careers in Television and Film,30,1,7,4,1410,330,151,200,2.2857142857142856,36
01M539,"New Explorations into Science, Technology and Math High School",1,1,186,101,3743,2047,150,289,54.844086021505376,2
02M416,Eleanor Roosevelt High School,2,1,113,57,7699,3749,136,224,28.75221238938053,4
02M300,"Urban Assembly School of Design and Construction, The",2,1,2,1,346,43,108,-2,0.5,61
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,1,2,1,71,14,25,-2,0.5,61
02M316,"Urban Assembly School of Business for Young Women, the",2,1,2,1,165,17,120,-2,0.5,61
02M427,Manhattan Academy For Arts & Language,2,1,2,1,389,72,108,49,0.5,61
02M550,Liberty High School Academy for Newcomers,2,1,2,1,99,16,50,6,0.5,61
03M403,The Global Learning Collaborative,3,1,2,1,754,90,108,-2,0.5,61
03M860,Frederick Douglass Academy II Secondary School,3,1,2,1,309,55,95,105,0.5,61
05M304,Mott Hall High School,5,1,2,1,455,53,108,-2,0.5,61
05M499,Frederick Douglass Academy,5,1,2,1,903,195,325,214,0.5,61
06M468,High School for Health Careers and Sciences,6,1,2,1,822,121,268,-2,0.5,61
06M552,Gregorio Luperon High School for Science and Mathematics,6,1,2,1,573,165,150,45,0.5,61
07X223,The Laboratory School of Finance and Technology: X223,7,1,2,1,980,230,89,93,0.5,61
07X473,Mott Haven Village Preparatory High School,7,1,2,1,460,62,81,-2,0.5,61
