School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
14K558,Williamsburg High School for Architecture and Design,14,ENGLISH,751,131.0,1223.0,253.0,155.0,212.0,22.8508655126498,156
14K488,Brooklyn Preparatory High School,14,ENGLISH,746,130.0,1061.0,174.0,153.0,6.0,22.654155495978554,157
28Q328,High School for Community Leadership,28,ENGLISH,383,93.0,671.0,160.0,150.0,231.0,22.5822454308094,158
07X223,The Laboratory School of Finance and Technology: X223,7,ENGLISH,502,106.0,980.0,230.0,89.0,93.0,22.382470119521912,159
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,ENGLISH,561,112.0,745.0,141.0,108.0,125.0,22.36007130124777,160
30Q286,"Young Women's Leadership School, Astoria",30,ENGLISH,228,71.0,453.0,156.0,81.0,103.0,22.109649122807017,161
15K497,The Boerum Hill School for International Studies,15,ENGLISH,629,116.0,801.0,155.0,125.0,6.0,21.39268680445151,162
02M489,High School of Economics and Finance,2,ENGLISH,794,130.0,1374.0,223.0,230.0,6.0,21.28463476070529,163
27Q302,"Queens High School for Information, Research, and Technology",27,ENGLISH,416,94.0,671.0,160.0,130.0,177.0,21.240384615384617,164
22K611,Origins High School,22,ENGLISH,154,57.0,296.0,126.0,128.0,211.0,21.0974025974026,165
02M531,Repertory Company High School for Theatre Arts,2,ENGLISH,289,78.0,365.0,100.0,60.0,68.0,21.05190311418685,166
02M543,New Design High School,2,ENGLISH,538,106.0,852.0,157.0,125.0,145.0,20.88475836431227,167
11X418,Bronx High School for the Visual Arts,11,ENGLISH,649,116.0,951.0,168.0,102.0,136.0,20.733436055469955,168
07X500,Hostos-Lincoln Academy of Science,7,ENGLISH,466,98.0,751.0,158.0,81.0,121.0,20.609442060085836,169
08X269,Bronx Studio School for Writers and Artists,8,ENGLISH,321,81.0,481.0,130.0,90.0,113.0,20.439252336448597,170
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,ENGLISH,589,109.0,782.0,146.0,150.0,6.0,20.171477079796265,171
