School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M308,Lower Manhattan Arts Academy,2,Staten Island,4,4.0,524,69.0,95,6,1.0,1
02M308,Lower Manhattan Arts Academy,2,Unknown,10,2.0,524,69.0,95,6,0.2,169
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Bronx,10,10.0,71,14.0,25,6,1.0,1
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Brooklyn,16,16.0,71,14.0,25,6,1.0,1
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Manhattan,18,18.0,71,14.0,25,6,1.0,1
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Queens,2,2.0,71,14.0,25,6,1.0,1
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Staten Island,1,1.0,71,14.0,25,6,1.0,196
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,Unknown,1,1.0,71,14.0,25,6,1.0,263
02M316,"Urban Assembly School of Business for Young Women, the",2,Bronx,22,17.0,165,17.0,120,6,0.7727272727272727,173
02M316,"Urban Assembly School of Business for Young Women, the",2,Brooklyn,26,20.0,165,17.0,120,6,0.7692307692307693,163
02M316,"Urban Assembly School of Business for Young Women, the",2,Manhattan,41,22.0,165,17.0,120,6,0.5365853658536586,257
02M316,"Urban Assembly School of Business for Young Women, the",2,Queens,7,7.0,165,17.0,120,6,1.0,1
02M316,"Urban Assembly School of Business for Young Women, the",2,Staten Island,3,3.0,165,17.0,120,6,1.0,1
02M316,"Urban Assembly School of Business for Young Women, the",2,Unknown,1,1.0,165,17.0,120,6,1.0,263
02M374,Gramercy Arts High School,2,Bronx,228,25.0,1038,129.0,204,78,0.10964912280701754,381
02M374,Gramercy Arts High School,2,Brooklyn,293,50.0,1038,129.0,204,78,0.17064846416382254,352
02M374,Gramercy Arts High School,2,Manhattan,226,43.0,1038,129.0,204,78,0.1902654867256637,351
02M374,Gramercy Arts High School,2,Queens,124,42.0,1038,129.0,204,78,0.3387096774193548,308
02M374,Gramercy Arts High School,2,Staten Island,7,7.0,1038,129.0,204,78,1.0,1
02M374,Gramercy Arts High School,2,Unknown,24,3.0,1038,129.0,204,78,0.125,208
02M376,NYC iSchool,2,Bronx,286,77.0,2459,931.0,118,158,0.2692307692307692,245
02M376,NYC iSchool,2,Brooklyn,804,280.0,2459,931.0,118,158,0.3482587064676617,250
02M376,NYC iSchool,2,Manhattan,1047,366.0,2459,931.0,118,158,0.3495702005730659,301
02M376,NYC iSchool,2,Queens,179,65.0,2459,931.0,118,158,0.36312849162011174,297
02M376,NYC iSchool,2,Staten Island,7,7.0,2459,931.0,118,158,1.0,1
02M376,NYC iSchool,2,Unknown,59,19.0,2459,931.0,118,158,0.3220338983050847,108
02M392,Manhattan Business Academy,2,Bronx,327,29.0,1321,191.0,161,6,0.08868501529051988,397
02M392,Manhattan Business Academy,2,Brooklyn,131,36.0,1321,191.0,161,6,0.2748091603053435,280
02M392,Manhattan Business Academy,2,Manhattan,572,83.0,1321,191.0,161,6,0.1451048951048951,370
02M392,Manhattan Business Academy,2,Queens,121,33.0,1321,191.0,161,6,0.2727272727272727,338
02M392,Manhattan Business Academy,2,Staten Island,8,8.0,1321,191.0,161,6,1.0,1
02M392,Manhattan Business Academy,2,Unknown,57,4.0,1321,191.0,161,6,0.07017543859649122,237
02M393,Business Of Sports School,2,Bronx,375,55.0,1151,248.0,129,210,0.14666666666666667,340
02M393,Business Of Sports School,2,Brooklyn,111,38.0,1151,248.0,129,210,0.34234234234234234,251
02M393,Business Of Sports School,2,Manhattan,438,73.0,1151,248.0,129,210,0.16666666666666666,358
02M393,Business Of Sports School,2,Queens,121,41.0,1151,248.0,129,210,0.33884297520661155,307
