School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
01M448,University Neighborhood High School,1,10474,1,1.0,2248,447.0,125,185,1.0,76
01M448,University Neighborhood High School,1,10475,1,1.0,2248,447.0,125,185,1.0,80
01M448,University Neighborhood High School,1,11101,11,1.0,2248,447.0,125,185,0.09090909090909091,55
01M448,University Neighborhood High School,1,11102,1,1.0,2248,447.0,125,185,1.0,70
01M448,University Neighborhood High School,1,11103,8,1.0,2248,447.0,125,185,0.125,35
01M448,University Neighborhood High School,1,11104,1,1.0,2248,447.0,125,185,1.0,66
01M448,University Neighborhood High School,1,11105,1,1.0,2248,447.0,125,185,1.0,61
01M448,University Neighborhood High School,1,11106,1,1.0,2248,447.0,125,185,1.0,71
01M448,University Neighborhood High School,1,11109,1,1.0,2248,447.0,125,185,1.0,21
01M448,University Neighborhood High School,1,11201,52,12.0,2248,447.0,125,185,2.769230769230769,26
01M448,University Neighborhood High School,1,11203,1,1.0,2248,447.0,125,185,1.0,135
01M448,University Neighborhood High School,1,11204,9,1.0,2248,447.0,125,185,0.1111111111111111,45
01M448,University Neighborhood High School,1,11205,22,1.0,2248,447.0,125,185,0.045454545454545456,78
01M448,University Neighborhood High School,1,11206,25,7.0,2248,447.0,125,185,1.96,34
01M448,University Neighborhood High School,1,11207,19,1.0,2248,447.0,125,185,0.05263157894736842,160
01M448,University Neighborhood High School,1,11208,26,7.0,2248,447.0,125,185,1.8846153846153846,55
01M448,University Neighborhood High School,1,11209,8,1.0,2248,447.0,125,185,0.125,38
01M448,University Neighborhood High School,1,11211,21,1.0,2248,447.0,125,185,0.047619047619047616,62
01M448,University Neighborhood High School,1,11212,11,1.0,2248,447.0,125,185,0.09090909090909091,112
01M448,University Neighborhood High School,1,11213,8,1.0,2248,447.0,125,185,0.125,63
01M448,University Neighborhood High School,1,11214,8,1.0,2248,447.0,125,185,0.125,39
01M448,University Neighborhood High School,1,11215,151,32.0,2248,447.0,125,185,6.781456953642384,20
01M448,University Neighborhood High School,1,11216,15,1.0,2248,447.0,125,185,0.06666666666666667,84
01M448,University Neighborhood High School,1,11217,32,1.0,2248,447.0,125,185,0.03125,73
01M448,University Neighborhood High School,1,11218,76,19.0,2248,447.0,125,185,4.75,24
01M448,University Neighborhood High School,1,11219,1,1.0,2248,447.0,125,185,1.0,65
01M448,University Neighborhood High School,1,11220,37,9.0,2248,447.0,125,185,2.189189189189189,35
01M448,University Neighborhood High School,1,11221,40,1.0,2248,447.0,125,185,0.025,153
01M448,University Neighborhood High School,1,11222,22,1.0,2248,447.0,125,185,0.045454545454545456,60
01M448,University Neighborhood High School,1,11223,1,1.0,2248,447.0,125,185,1.0,65
01M448,University Neighborhood High School,1,11224,6,1.0,2248,447.0,125,185,0.16666666666666666,20
01M448,University Neighborhood High School,1,11225,24,10.0,2248,447.0,125,185,4.166666666666667,17
01M448,University Neighborhood High School,1,11226,14,1.0,2248,447.0,125,185,0.07142857142857142,108
01M448,University Neighborhood High School,1,11228,9,1.0,2248,447.0,125,185,0.1111111111111111,39
01M448,University Neighborhood High School,1,11229,1,1.0,2248,447.0,125,185,1.0,67
01M448,University Neighborhood High School,1,11230,10,1.0,2248,447.0,125,185,0.1,58
01M448,University Neighborhood High School,1,11231,68,22.0,2248,447.0,125,185,7.117647058823529,15
01M448,University Neighborhood High School,1,11232,15,1.0,2248,447.0,125,185,0.06666666666666667,55
01M448,University Neighborhood High School,1,11233,29,1.0,2248,447.0,125,185,0.034482758620689655,161
01M448,University Neighborhood High School,1,11234,6,1.0,2248,447.0,125,185,0.16666666666666666,38
01M448,University Neighborhood High School,1,11235,1,1.0,2248,447.0,125,185,1.0,61
