School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
19K618,Academy of Innovative Technology,19,SPANISH,327,61.0,1048.0,183.0,115.0,169.0,11.37920489296636,151
25Q281,East-West School of International Studies,25,SPANISH,150,41.0,766.0,290.0,89.0,113.0,11.206666666666667,152
09X568,Young Women's Leadership School of the Bronx,9,SPANISH,130,38.0,449.0,109.0,90.0,127.0,11.107692307692307,153
12X267,Bronx Latin,12,SPANISH,359,63.0,841.0,149.0,81.0,113.0,11.055710306406684,154
28Q690,High School for Law Enforcement and Public Safety,28,SPANISH,99,33.0,396.0,91.0,165.0,109.0,11.0,155
02M400,High School for Environmental Studies,2,SPANISH,486,73.0,2558.0,395.0,344.0,385.0,10.965020576131687,156
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",7,SPANISH,276,55.0,862.0,174.0,250.0,182.0,10.960144927536232,157
10X434,Belmont Preparatory High School,10,SPANISH,650,84.0,1447.0,203.0,108.0,176.0,10.855384615384615,158
06M467,High School for Law and Public Service,6,SPANISH,375,63.0,643.0,95.0,167.0,84.0,10.584,159
10X243,West Bronx Academy for the Future,10,SPANISH,402,65.0,917.0,136.0,90.0,109.0,10.509950248756219,160
09X324,Bronx Early College Academy for Teaching & Learning,9,SPANISH,238,50.0,549.0,93.0,81.0,133.0,10.504201680672269,161
28Q328,High School for Community Leadership,28,SPANISH,154,40.0,671.0,160.0,150.0,231.0,10.38961038961039,162
08X432,Bronx Bridges High School,8,SPANISH,273,53.0,454.0,83.0,81.0,70.0,10.28937728937729,163
29Q498,"Health, Arts, Robotics, and Technology High School",29,SPANISH,284,54.0,1435.0,293.0,196.0,264.0,10.267605633802816,164
32K556,Bushwick Leaders High School for Academic Excellence,32,SPANISH,365,61.0,768.0,125.0,120.0,6.0,10.194520547945206,165
27Q309,Academy of Medical Technology: A College Board School,27,SPANISH,174,42.0,626.0,120.0,105.0,109.0,10.137931034482758,166
01M450,East Side Community School,1,SPANISH,185,43.0,1142.0,328.0,95.0,117.0,9.994594594594595,167
11X288,Collegiate Institute for Math and Science,11,SPANISH,442,66.0,1764.0,317.0,133.0,200.0,9.855203619909503,168
32K552,The Academy of Urban Planning and Engineering,32,SPANISH,322,56.0,737.0,128.0,113.0,6.0,9.73913043478261,169
19K409,East New York Family Academy,19,SPANISH,55,23.0,416.0,159.0,125.0,147.0,9.618181818181819,170
14K477,East Williamsburg Scholars Academy,14,SPANISH,240,48.0,650.0,90.0,234.0,6.0,9.6,171
09X227,Bronx Collegiate Academy,9,SPANISH,501,69.0,1201.0,163.0,120.0,173.0,9.502994011976048,172
13K439,Brooklyn International High School,13,SPANISH,209,44.0,409.0,71.0,81.0,53.0,9.263157894736842,173
30Q367,Motion Picture Tech High School,30,SPANISH,201,43.0,538.0,133.0,200.0,6.0,9.199004975124378,174
25Q252,"Queens School of Inquiry, The",25,SPANISH,87,28.0,508.0,161.0,89.0,107.0,9.011494252873563,175
21K572,Leaders High School,21,SPANISH,129,34.0,462.0,119.0,110.0,141.0,8.96124031007752,176
21K337,International High School at Lafayette,21,SPANISH,146,36.0,327.0,76.0,90.0,35.0,8.876712328767123,177
02M413,School of the Future High School,2,SPANISH,220,44.0,1741.0,485.0,108.0,152.0,8.8,178
25Q240,Veritas Academy,25,SPANISH,296,51.0,526.0,96.0,130.0,6.0,8.787162162162161,179
10X549,Discovery High School,10,SPANISH,371,57.0,716.0,95.0,108.0,135.0,8.757412398921833,180
02M449,Vanguard High School,2,SPANISH,204,42.0,701.0,134.0,110.0,158.0,8.647058823529411,181
17K524,International High School at Prospect Heights,17,SPANISH,159,37.0,338.0,61.0,108.0,45.0,8.61006289308176,182
14K071,Juan Morel Campos Secondary School,14,SPANISH,119,32.0,341.0,78.0,101.0,69.0,8.605042016806722,183
11X249,Bronx Health Sciences High School,11,SPANISH,354,55.0,1270.0,225.0,200.0,261.0,8.545197740112995,184
01M448,University Neighborhood High School,1,SPANISH,296,50.0,2248.0,447.0,125.0,185.0,8.445945945945946,185
19K660,W. H. Maxwell Career and Technical Education High School,19,SPANISH,219,43.0,991.0,185.0,305.0,164.0,8.442922374429223,186
19K639,Brooklyn Lab School,19,SPANISH,297,50.0,980.0,152.0,102.0,143.0,8.417508417508417,187
02M392,Manhattan Business Academy,2,SPANISH,430,60.0,1321.0,191.0,161.0,6.0,8.372093023255815,188
10X264,Bronx Academy for Software Engineering (BASE),10,SPANISH,366,55.0,1199.0,175.0,120.0,165.0,8.265027322404372,189
09X241,"Urban Assembly School for Applied Math and Science, The",9,SPANISH,204,41.0,561.0,117.0,90.0,99.0,8.240196078431373,190
28Q284,York Early College Academy,28,SPANISH,134,33.0,1602.0,580.0,81.0,91.0,8.126865671641792,191
28Q680,Queens Gateway to Health Sciences Secondary School,28,SPANISH,178,38.0,1238.0,384.0,108.0,147.0,8.112359550561798,192
03M307,"Urban Assembly School for Media Studies, The",3,SPANISH,106,29.0,328.0,71.0,126.0,109.0,7.933962264150943,193
22K611,Origins High School,22,SPANISH,42,18.0,296.0,126.0,128.0,211.0,7.714285714285714,194
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,SPANISH,168,36.0,1239.0,274.0,108.0,160.0,7.714285714285714,194
25Q285,World Journalism Preparatory: A College Board School,25,SPANISH,88,26.0,448.0,162.0,90.0,139.0,7.681818181818182,196
11X509,High School of Language and Innovation,11,SPANISH,199,39.0,299.0,56.0,108.0,36.0,7.64321608040201,197
02M298,Pace High School,2,SPANISH,265,45.0,1172.0,169.0,190.0,177.0,7.6415094339622645,198
28Q350,Jamaica Gateway to the Sciences,28,SPANISH,172,36.0,1005.0,210.0,150.0,184.0,7.534883720930233,199
13K595,Bedford Academy High School,13,SPANISH,263,44.0,2464.0,599.0,81.0,114.0,7.361216730038023,200
07X522,Bronx Design and Construction Academy,7,SPANISH,207,39.0,677.0,112.0,140.0,91.0,7.3478260869565215,201
19K659,Cypress Hills Collegiate Preparatory School,19,SPANISH,252,43.0,581.0,86.0,99.0,6.0,7.337301587301587,202
21K620,William E. Grady Career and Technical Education High School,21,SPANISH,177,36.0,970.0,205.0,305.0,214.0,7.322033898305085,203
14K474,PROGRESS High School for Professional Careers,14,SPANISH,208,39.0,506.0,81.0,153.0,6.0,7.3125,204
19K615,Transit Tech Career and Technical Education High School,19,SPANISH,221,40.0,1168.0,225.0,315.0,6.0,7.239819004524887,205
08X376,Antonia Pantoja Preparatory Academy: A College Board School,8,SPANISH,109,28.0,308.0,82.0,84.0,104.0,7.192660550458716,206
02M551,Urban Assembly New York Harbor School,2,SPANISH,102,27.0,724.0,221.0,200.0,6.0,7.147058823529412,207
02M529,Jacqueline Kennedy Onassis High School,2,SPANISH,215,39.0,534.0,81.0,204.0,6.0,7.074418604651163,208
31R080,The Michael J. Petrides School,31,SPANISH,64,21.0,724.0,274.0,128.0,188.0,6.890625,209
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,SPANISH,168,34.0,432.0,88.0,108.0,6.0,6.880952380952381,210
32K545,EBC High School for Public Service - Bushwick,32,SPANISH,222,39.0,467.0,75.0,126.0,6.0,6.851351351351352,211
10X213,Bronx Engineering and Technology Academy,10,SPANISH,252,41.0,754.0,115.0,142.0,6.0,6.670634920634921,212
09X252,Mott Hall Bronx High School,9,SPANISH,410,52.0,1138.0,141.0,90.0,130.0,6.595121951219512,213
31R064,Gaynor McCown Expeditionary Learning School,31,SPANISH,39,16.0,777.0,364.0,146.0,171.0,6.564102564102564,214
12X271,East Bronx Academy for the Future,12,SPANISH,166,33.0,464.0,97.0,90.0,79.0,6.5602409638554215,215
27Q400,August Martin High School,27,SPANISH,173,33.0,960.0,177.0,250.0,218.0,6.294797687861272,216
10X524,Crotona International High School,10,SPANISH,195,35.0,309.0,47.0,81.0,19.0,6.282051282051282,217
12X521,The Metropolitan Soundview High School,12,SPANISH,186,34.0,453.0,67.0,120.0,74.0,6.21505376344086,218
27Q314,Epic High School - South,27,SPANISH,127,28.0,618.0,154.0,95.0,138.0,6.173228346456693,219
14K478,"The High School for Enterprise, Business and Technology",14,SPANISH,389,49.0,1197.0,144.0,249.0,130.0,6.172236503856041,220
12X550,High School of World Cultures,12,SPANISH,239,38.0,380.0,49.0,108.0,36.0,6.041841004184101,221
10X342,International School for Liberal Arts,10,SPANISH,6,6.0,219.0,81.0,100.0,6.0,6.0,222
24Q296,Pan American International High School,24,SPANISH,6,6.0,508.0,166.0,108.0,28.0,6.0,222
02M542,Manhattan Bridges High School,2,SPANISH,6,6.0,904.0,224.0,172.0,95.0,6.0,222
09X365,Academy for Language and Technology,9,SPANISH,6,6.0,773.0,224.0,92.0,89.0,6.0,222
05M499,Frederick Douglass Academy,5,SPANISH,242,38.0,903.0,195.0,325.0,214.0,5.966942148760331,226
15K429,Digital Arts and Cinema Technology High School,15,SPANISH,142,29.0,579.0,105.0,90.0,94.0,5.922535211267606,227
14K488,Brooklyn Preparatory High School,14,SPANISH,273,40.0,1061.0,174.0,153.0,6.0,5.86080586080586,228
07X625,Bronx Legacy High School,7,SPANISH,234,37.0,690.0,97.0,90.0,6.0,5.85042735042735,229
01M292,Orchard Collegiate Academy,1,SPANISH,62,19.0,280.0,71.0,90.0,6.0,5.82258064516129,230
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,SPANISH,159,30.0,510.0,116.0,122.0,6.0,5.660377358490566,231
32K403,Academy for Excellence in Leadership,32,SPANISH,285,40.0,653.0,76.0,108.0,6.0,5.614035087719298,232
