School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M545,High School for Dual Language and Asian Studies,2,11211,1,1.0,769,299.0,108,150,1.0,79
02M534,Harvest Collegiate High School,2,11211,1,1.0,1116,115.0,116,6,1.0,79
02M533,Union Square Academy for Health Sciences,2,11211,1,1.0,834,154.0,163,143,1.0,79
02M531,Repertory Company High School for Theatre Arts,2,11211,1,1.0,365,100.0,60,68,1.0,79
02M520,Murry Bergtraum High School for Business Careers,2,11211,1,1.0,222,38.0,240,6,1.0,79
03M859,Special Music School,3,11211,1,1.0,482,165.0,50,64,1.0,79
02M507,Urban Assembly Gateway School for Technology,2,11211,1,1.0,1299,278.0,108,146,1.0,79
02M425,Leadership and Public Service High School,2,11211,1,1.0,387,36.0,145,52,1.0,79
02M422,Quest to Learn,2,11211,1,1.0,177,27.0,108,41,1.0,79
02M419,Landmark High School,2,11211,1,1.0,457,37.0,100,6,1.0,79
02M395,A School Without Walls,2,11211,1,1.0,178,36.0,100,6,1.0,79
02M393,Business Of Sports School,2,11211,1,1.0,1151,248.0,129,210,1.0,79
02M392,Manhattan Business Academy,2,11211,1,1.0,1321,191.0,161,6,1.0,79
02M308,Lower Manhattan Arts Academy,2,11211,1,1.0,524,69.0,95,6,1.0,79
02M303,"Facing History School, The",2,11211,1,1.0,421,87.0,107,6,1.0,79
02M288,Food and Finance High School,2,11211,1,1.0,1225,264.0,150,211,1.0,79
02M282,Urban Assembly Maker Academy,2,11211,1,1.0,1074,175.0,150,216,1.0,79
02M047,47 The American Sign Language and English Secondary School,2,11211,1,1.0,318,55.0,69,6,1.0,79
01M515,Lower East Side Preparatory High School,1,11211,1,1.0,317,89.0,75,6,1.0,79
02M449,Vanguard High School,2,11211,1,1.0,701,134.0,110,158,1.0,79
04M495,Park East High School,4,11211,1,1.0,2653,739.0,100,166,1.0,79
06M540,A. Philip Randolph Campus High School,6,11211,1,1.0,2050,408.0,471,379,1.0,79
07X221,South Bronx Preparatory: A College Board School,7,11211,1,1.0,782,161.0,123,148,1.0,79
17K600,Clara Barton High School,17,11211,1,1.0,1276,355.0,434,6,1.0,79
17K548,Brooklyn School for Music & Theatre,17,11211,1,1.0,522,74.0,108,6,1.0,79
17K537,High School for Youth and Community Development at Erasmus,17,11211,1,1.0,488,82.0,140,6,1.0,79
17K528,The High School for Global Citizenship,17,11211,1,1.0,524,55.0,100,63,1.0,79
17K408,Academy of Hospitality and Tourism,17,11211,1,1.0,571,89.0,118,6,1.0,79
17K122,Pathways in Technology Early College High School (P-Tech),17,11211,1,1.0,712,114.0,150,6,1.0,79
16K688,The Brooklyn Academy of Global Finance,16,11211,1,1.0,469,56.0,108,6,1.0,79
16K498,Brooklyn High School for Law and Technology,16,11211,1,1.0,1730,296.0,151,6,1.0,79
16K455,Boys and Girls High School,16,11211,1,1.0,712,68.0,369,96,1.0,79
15K519,Cobble Hill School of American Studies,15,11211,1,1.0,481,62.0,278,6,1.0,79
15K464,Park Slope Collegiate,15,11211,1,1.0,613,115.0,102,130,1.0,79
15K463,Cyberarts Studio Academy,15,11211,1,1.0,256,30.0,125,6,1.0,79
15K462,John Jay School for Law,15,11211,1,1.0,1012,184.0,125,6,1.0,79
15K448,Brooklyn Collaborative Studies,15,11211,1,1.0,693,99.0,90,110,1.0,79
15K429,Digital Arts and Cinema Technology High School,15,11211,1,1.0,579,105.0,90,94,1.0,79
14K614,Young Women's Leadership School of Brooklyn,14,11211,1,1.0,251,47.0,93,59,1.0,79
13K963,Design Works High School,13,11211,1,1.0,607,86.0,81,6,1.0,79
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,11211,1,1.0,1239,274.0,108,160,1.0,79
13K594,Gotham Professional Arts Academy,13,11211,1,1.0,364,61.0,81,6,1.0,79
13K483,The Urban Assembly School for Law and Justice,13,11211,1,1.0,593,105.0,115,6,1.0,79
13K350,Urban Assembly School of Music and Art,13,11211,1,1.0,494,52.0,108,6,1.0,79
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,11211,1,1.0,362,54.0,82,6,1.0,79
10X437,Fordham High School for the Arts,10,11211,1,1.0,1826,399.0,130,158,1.0,79
08X636,Virtual Innovators Academy,8,11211,1,1.0,113,31.0,80,6,1.0,79
08X432,Bronx Bridges High School,8,11211,1,1.0,454,83.0,81,70,1.0,79
08X376,Antonia Pantoja Preparatory Academy: A College Board School,8,11211,1,1.0,308,82.0,84,104,1.0,79
08X312,Millennium Art Academy,8,11211,1,1.0,625,136.0,112,117,1.0,79
17K751,Academy for Health Careers,17,11211,1,1.0,715,72.0,108,6,1.0,79
32K556,Bushwick Leaders High School for Academic Excellence,32,11211,1,1.0,768,125.0,120,6,1.0,79
