School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
28Q687,Queens High School for the Sciences at York College,28,MANDARIN,741,,11824.0,,104.0,139.0,0.0,150
31R605,Staten Island Technical High School,31,MANDARIN,864,,8941.0,,266.0,294.0,0.0,150
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,3,MANDARIN,93,,3950.0,,529.0,796.0,0.0,150
10X445,The Bronx High School of Science,10,MANDARIN,758,,14091.0,,598.0,712.0,0.0,150
14K449,"Brooklyn Latin School, The",14,MANDARIN,770,,12486.0,,170.0,508.0,0.0,150
02M475,Stuyvesant High School,2,MANDARIN,1126,,18574.0,,672.0,744.0,0.0,150
10X696,High School of American Studies at Lehman College,10,MANDARIN,512,,11323.0,,77.0,111.0,0.0,150
13K430,Brooklyn Technical High School,13,MANDARIN,1381,,19904.0,,1168.0,1422.0,0.0,150
19K764,The Urban Assembly School for Collaborative Healthcare,19,MANDARIN,1,1.0,419.0,71.0,81.0,6.0,1.0,159
19K639,Brooklyn Lab School,19,MANDARIN,1,1.0,980.0,152.0,102.0,143.0,1.0,159
19K615,Transit Tech Career and Technical Education High School,19,MANDARIN,1,1.0,1168.0,225.0,315.0,6.0,1.0,159
18K642,Urban Action Academy,18,MANDARIN,1,1.0,231.0,44.0,107.0,6.0,1.0,159
19K659,Cypress Hills Collegiate Preparatory School,19,MANDARIN,1,1.0,581.0,86.0,99.0,6.0,1.0,159
19K422,Spring Creek Community School,19,MANDARIN,1,1.0,341.0,50.0,73.0,6.0,1.0,159
18K637,Academy for Conservation and the Environment,18,MANDARIN,1,1.0,727.0,92.0,170.0,217.0,1.0,159
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,MANDARIN,1,1.0,745.0,141.0,108.0,125.0,1.0,159
19K660,W. H. Maxwell Career and Technical Education High School,19,MANDARIN,1,1.0,991.0,185.0,305.0,164.0,1.0,159
27Q314,Epic High School - South,27,MANDARIN,1,1.0,618.0,154.0,95.0,138.0,1.0,159
21K559,Life Academy High School for Film and Music,21,MANDARIN,1,1.0,145.0,21.0,81.0,49.0,1.0,159
32K403,Academy for Excellence in Leadership,32,MANDARIN,1,1.0,653.0,76.0,108.0,6.0,1.0,159
31R028,The Eagle Academy for Young Men of Staten Island,31,MANDARIN,1,1.0,94.0,26.0,81.0,6.0,1.0,159
30Q555,Newcomers High School,30,MANDARIN,1,1.0,559.0,166.0,81.0,107.0,1.0,159
30Q502,Information Technology High School,30,MANDARIN,1,1.0,944.0,190.0,227.0,6.0,1.0,159
30Q417,Gotham Tech High School,30,MANDARIN,1,1.0,631.0,96.0,90.0,6.0,1.0,159
30Q301,Academy for Careers in Television and Film,30,MANDARIN,1,1.0,1410.0,330.0,151.0,200.0,1.0,159
30Q286,"Young Women's Leadership School, Astoria",30,MANDARIN,1,1.0,453.0,156.0,81.0,103.0,1.0,159
29Q498,"Health, Arts, Robotics, and Technology High School",29,MANDARIN,1,1.0,1435.0,293.0,196.0,264.0,1.0,159
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,MANDARIN,1,1.0,782.0,146.0,150.0,6.0,1.0,159
29Q327,Eagle Academy for Young Men III,29,MANDARIN,1,1.0,324.0,112.0,120.0,6.0,1.0,159
29Q326,Cambria Heights Academy,29,MANDARIN,1,1.0,581.0,113.0,81.0,103.0,1.0,159
28Q896,"Young Women's Leadership School, Queens",28,MANDARIN,1,1.0,350.0,99.0,81.0,119.0,1.0,159
28Q690,High School for Law Enforcement and Public Safety,28,MANDARIN,1,1.0,396.0,91.0,165.0,109.0,1.0,159
28Q325,Hillside Arts & Letters Academy,28,MANDARIN,1,1.0,520.0,82.0,108.0,133.0,1.0,159
28Q310,Queens Collegiate: A College Board School,28,MANDARIN,1,1.0,453.0,67.0,115.0,77.0,1.0,159
27Q475,Richmond Hill High School,27,MANDARIN,1,1.0,1397.0,386.0,371.0,423.0,1.0,159
27Q400,August Martin High School,27,MANDARIN,1,1.0,960.0,177.0,250.0,218.0,1.0,159
18K633,High School for Medical Professions,18,MANDARIN,1,1.0,666.0,99.0,108.0,116.0,1.0,159
27Q309,Academy of Medical Technology: A College Board School,27,MANDARIN,1,1.0,626.0,120.0,105.0,109.0,1.0,159
27Q302,"Queens High School for Information, Research, and Technology",27,MANDARIN,1,1.0,671.0,160.0,130.0,177.0,1.0,159
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",26,MANDARIN,1,1.0,671.0,231.0,258.0,222.0,1.0,159
24Q530,International High School at LaGuardia Community College,24,MANDARIN,1,1.0,1236.0,505.0,119.0,114.0,1.0,159
24Q267,High School of Applied Communication,24,MANDARIN,1,1.0,557.0,75.0,145.0,6.0,1.0,159
24Q236,International High School for Health Sciences,24,MANDARIN,1,1.0,485.0,112.0,81.0,68.0,1.0,159
23K644,Eagle Academy for Young Men II,23,MANDARIN,1,1.0,554.0,179.0,92.0,139.0,1.0,159
22K611,Origins High School,22,MANDARIN,1,1.0,296.0,126.0,128.0,211.0,1.0,159
21K620,William E. Grady Career and Technical Education High School,21,MANDARIN,1,1.0,970.0,205.0,305.0,214.0,1.0,159
21K344,Rachel Carson High School for Coastal Studies,21,MANDARIN,1,1.0,469.0,162.0,160.0,200.0,1.0,159
18K629,Cultural Academy for the Arts and Sciences,18,MANDARIN,1,1.0,567.0,70.0,116.0,80.0,1.0,159
14K474,PROGRESS High School for Professional Careers,14,MANDARIN,1,1.0,506.0,81.0,153.0,6.0,1.0,159
18K569,Kurt Hahn Expeditionary Learning School,18,MANDARIN,1,1.0,141.0,21.0,81.0,6.0,1.0,159
03M492,"High School for Law, Advocacy and Community Justice",3,MANDARIN,1,1.0,920.0,170.0,220.0,6.0,1.0,159
03M494,High School of Arts and Technology,3,MANDARIN,1,1.0,1037.0,132.0,140.0,6.0,1.0,159
03M610,Young Women's Leadership School,3,MANDARIN,1,1.0,370.0,113.0,81.0,6.0,1.0,159
03M859,Special Music School,3,MANDARIN,1,1.0,482.0,165.0,50.0,64.0,1.0,159
03M860,Frederick Douglass Academy II Secondary School,3,MANDARIN,1,1.0,309.0,55.0,95.0,105.0,1.0,159
04M372,Esperanza Preparatory Academy,4,MANDARIN,1,1.0,322.0,114.0,106.0,120.0,1.0,159
04M680,"Heritage School, The",4,MANDARIN,1,1.0,482.0,60.0,80.0,6.0,1.0,159
05M157,The Urban Assembly School for Global Commerce,5,MANDARIN,1,1.0,207.0,26.0,81.0,6.0,1.0,159
05M499,Frederick Douglass Academy,5,MANDARIN,1,1.0,903.0,195.0,325.0,214.0,1.0,159
06M293,City College Academy of the Arts,6,MANDARIN,1,1.0,1028.0,337.0,81.0,95.0,1.0,159
06M346,Community Health Academy of the Heights,6,MANDARIN,1,1.0,586.0,143.0,75.0,93.0,1.0,159
06M348,Washington Heights Expeditionary Learning School,6,MANDARIN,1,1.0,689.0,175.0,100.0,115.0,1.0,159
03M417,Frank McCourt High School,3,MANDARIN,1,1.0,1253.0,345.0,120.0,170.0,1.0,159
06M540,A. Philip Randolph Campus High School,6,MANDARIN,1,1.0,2050.0,408.0,471.0,379.0,1.0,159
07X495,University Heights Secondary School,7,MANDARIN,1,1.0,2181.0,787.0,140.0,203.0,1.0,159
07X522,Bronx Design and Construction Academy,7,MANDARIN,1,1.0,677.0,112.0,140.0,91.0,1.0,159
07X625,Bronx Legacy High School,7,MANDARIN,1,1.0,690.0,97.0,90.0,6.0,1.0,159
08X269,Bronx Studio School for Writers and Artists,8,MANDARIN,1,1.0,481.0,130.0,90.0,113.0,1.0,159
08X312,Millennium Art Academy,8,MANDARIN,1,1.0,625.0,136.0,112.0,117.0,1.0,159
08X349,Bronx River High School,8,MANDARIN,1,1.0,1172.0,196.0,108.0,168.0,1.0,159
