School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
28Q505,Hillcrest High School,28,CHINESE/ANY,23,1.0,2316.0,496.0,730.0,517.0,0.043478260869565216,134
25Q263,Flushing International High School,25,CHINESE/ANY,25,1.0,576.0,182.0,90.0,90.0,0.04,135
02M489,High School of Economics and Finance,2,CHINESE/ANY,27,1.0,1374.0,223.0,230.0,6.0,0.037037037037037035,136
31R450,Curtis High School,31,CHINESE/ANY,28,1.0,1967.0,690.0,804.0,754.0,0.03571428571428571,137
02M420,High School for Health Professions and Human Services,2,CHINESE/ANY,36,1.0,2991.0,776.0,477.0,590.0,0.027777777777777776,138
13K430,Brooklyn Technical High School,13,CHINESE/ANY,1130,,19904.0,,1168.0,1422.0,0.0,139
31R605,Staten Island Technical High School,31,CHINESE/ANY,656,,8941.0,,266.0,294.0,0.0,139
05M692,"High School for Mathematics, Science and Engineering at City College",5,CHINESE/ANY,611,,15039.0,,109.0,142.0,0.0,139
14K449,"Brooklyn Latin School, The",14,CHINESE/ANY,610,,12486.0,,170.0,508.0,0.0,139
28Q687,Queens High School for the Sciences at York College,28,CHINESE/ANY,613,,11824.0,,104.0,139.0,0.0,139
02M475,Stuyvesant High School,2,CHINESE/ANY,948,,18574.0,,672.0,744.0,0.0,139
10X445,The Bronx High School of Science,10,CHINESE/ANY,647,,14091.0,,598.0,712.0,0.0,139
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,3,CHINESE/ANY,99,,3950.0,,529.0,796.0,0.0,139
10X696,High School of American Studies at Lehman College,10,CHINESE/ANY,387,,11323.0,,77.0,111.0,0.0,139
19K507,Performing Arts and Technology High School,19,CHINESE/ANY,1,1.0,1103.0,157.0,125.0,163.0,1.0,148
19K615,Transit Tech Career and Technical Education High School,19,CHINESE/ANY,1,1.0,1168.0,225.0,315.0,6.0,1.0,148
19K422,Spring Creek Community School,19,CHINESE/ANY,1,1.0,341.0,50.0,73.0,6.0,1.0,148
18K637,Academy for Conservation and the Environment,18,CHINESE/ANY,1,1.0,727.0,92.0,170.0,217.0,1.0,148
19K659,Cypress Hills Collegiate Preparatory School,19,CHINESE/ANY,1,1.0,581.0,86.0,99.0,6.0,1.0,148
18K633,High School for Medical Professions,18,CHINESE/ANY,1,1.0,666.0,99.0,108.0,116.0,1.0,148
18K629,Cultural Academy for the Arts and Sciences,18,CHINESE/ANY,1,1.0,567.0,70.0,116.0,80.0,1.0,148
21K559,Life Academy High School for Film and Music,21,CHINESE/ANY,1,1.0,145.0,21.0,81.0,49.0,1.0,148
19K660,W. H. Maxwell Career and Technical Education High School,19,CHINESE/ANY,1,1.0,991.0,185.0,305.0,164.0,1.0,148
27Q475,Richmond Hill High School,27,CHINESE/ANY,1,1.0,1397.0,386.0,371.0,423.0,1.0,148
23K493,Brooklyn Collegiate: A College Board School,23,CHINESE/ANY,1,1.0,727.0,113.0,120.0,6.0,1.0,148
32K552,The Academy of Urban Planning and Engineering,32,CHINESE/ANY,1,1.0,737.0,128.0,113.0,6.0,1.0,148
